"city","year","lts","run_timestamp","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","access_15min_vol","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","found_routes","avg_dist_km","processing_time_minutes"
"Lisbon",2016,2,"20260225_085653",1664901,8197.55,1.59,0,20.81,79.59,2.68,5.54,12.16,113731685,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,16241,NA,NA
"Lisbon",2016,3,"20260225_085653",1664901,8028.81,1.54,0,18.16,59.04,2.27,29.57,9.09,175336650,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,16535,NA,NA
"Lisbon",2016,4,"20260225_085653",1664901,7044.91,1.36,0,5.01,27.12,1.39,17.97,53.5,346346700,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,16549,NA,NA
"Lisbon",2021,1,"20260225_085653",1664901,8103.66,1.55,-0.48,24.51,87.09,1.39,3.84,7.65,127810563,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,16406,NA,NA
"Lisbon",2021,2,"20260225_085653",1664901,8083.01,1.55,-1.4,24.37,83.74,5.17,3.73,7.33,137714736,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,16455,NA,NA
"Lisbon",2021,3,"20260225_085653",1664901,7818.03,1.49,-2.63,19.99,66.05,6.07,21.6,6.25,185892817,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,16515,NA,NA
"Lisbon",2021,4,"20260225_085653",1664901,6993.97,1.34,-0.72,6.38,32.5,2.95,14.04,50.47,341675226,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,16515,NA,NA
"Lisbon",2026,1,"20260225_085653",1664901,7879.33,1.5,-3.24,34.89,90.73,1.54,3.28,4.45,145505598,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,16459,NA,NA
"Lisbon",2026,2,"20260225_085653",1664901,7832.33,1.49,-4.46,34.04,85.7,7.12,3.1,4.07,167244485,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,16493,NA,NA
"Lisbon",2026,3,"20260225_085653",1664901,7574.62,1.44,-5.66,27.89,67.11,9.25,20.07,3.56,214362251,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,16502,NA,NA
"Lisbon",2026,4,"20260225_085653",1664901,6999.79,1.34,-0.64,11.2,35.41,6.1,15.21,43.27,341136563,5535364.061,216257.088261936,3.91,65.55,3.86,10.14,20.44,145208,10603,44520,15926,16508,NA,NA
"London",2016,1,"20260225_115015",340900,7613.79,1.46,0,18.4,67.17,6.89,7.42,18.5,55918289,5905711.539,199965,3.39,45.21,13.24,13.71,27.84,76600,64236,38265,20863,18736,NA,NA
"London",2016,2,"20260225_115015",340900,8031.46,1.47,0,19.17,52.53,29.5,6.06,11.88,120918099,5905711.539,199965,3.39,45.21,13.24,13.71,27.84,76600,64236,38265,20863,19912,NA,NA
"London",2016,3,"20260225_115015",340900,7753.46,1.42,0,20.97,37.66,26.84,26.76,8.72,183876767,5905711.539,199965,3.39,45.21,13.24,13.71,27.84,76600,64236,38265,20863,19948,NA,NA
"London",2016,4,"20260225_115015",340900,6675,1.23,0,21.26,12.48,10.93,12.43,64.14,399762972,5905711.539,199965,3.39,45.21,13.24,13.71,27.84,76600,64236,38265,20863,19948,NA,NA
"London",2021,1,"20260225_115015",340900,7898.72,1.46,3.74,30.39,79.59,7.96,0.62,11.81,74289944,6414543.9,301965,4.71,54.9,18.87,1.8,24.43,159483,69312,53295,19875,19771,NA,NA
"London",2021,2,"20260225_115015",340900,7720.11,1.42,-3.88,27.16,57.92,33.92,0.44,7.71,159240823,6414543.9,301965,4.71,54.9,18.87,1.8,24.43,159483,69312,53295,19875,19947,NA,NA
"London",2021,3,"20260225_115015",340900,7684.95,1.41,-0.88,27.36,56.14,33.36,3.13,7.35,170650559,6414543.9,301965,4.71,54.9,18.87,1.8,24.43,159483,69312,53295,19875,19947,NA,NA
