"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"17766","17766",2414.46253280946,350.763,0,0,0,78.79,3.12,0,18.09,0,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3187,NA,NA,NA,NA,NA
"17767","17767",993.848527771222,863.612,0,0,32.037,66.54,0,0,33.46,1,NA,NA,NA,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2038,NA,NA,NA,NA,NA
"17768","17768",1955.29566337808,0,0,0,0,30.49,6.57,17.2,45.74,0,NA,NA,NA,NA,38.7,36.6,NA,NA,NA,NA,NA,NA,NA,NA,3014,3014,NA,NA,NA,NA
"17769","17769",1524.39141136262,0,0,0,0,46.79,0,0,53.21,0,NA,NA,NA,NA,33,33,NA,NA,NA,NA,NA,NA,NA,NA,3038,3038,NA,NA,NA,NA
"1777","1777",1432.89691260697,0,0,0,0,75.53,0,12.37,12.11,0,NA,NA,NA,NA,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,2166,2166,NA,NA,NA,NA
"17770","17770",1894.88018033014,0,0,0,0,60.76,0,0,39.24,0,NA,NA,NA,NA,21.4,21.4,NA,NA,NA,NA,NA,NA,NA,NA,2476,2476,NA,NA,NA,NA
"17771","17771",2350.55437364179,1674.728,86.49,0,0,86.66,0,12.03,1.31,3,NA,NA,NA,NA,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4037,NA,NA,NA,NA,NA
"17772","17772",2319.39913587995,2160.545,37.346,139.983,0,92.91,0.25,0.59,6.25,5,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5314,NA,NA,NA,NA,NA
"17773","17773",1524.92104845943,1800.851,0,0,93.486,92.3,2.85,0,4.86,0,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2549,NA,NA,NA,NA,NA
"17774","17774",2787.88328223745,128.371,672.216,178.924,0,93.94,1.48,0,4.58,2,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3425,NA,NA,NA,NA,NA
"17775","17775",2497.80111651376,194.661,0,0,0,86.59,0,10.68,2.72,0,NA,NA,NA,NA,25.9,25.9,NA,NA,NA,NA,NA,NA,NA,NA,3777,3777,NA,NA,NA,NA
"17776","17776",857.168586043576,0,30.336,30.368,1471.057,78.38,21.62,0,0,2,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2295,NA,NA,NA,NA,NA
"17777","17777",2972.10978539191,0,0,877.038,19.57,89.07,0,1.33,9.6,3,NA,NA,NA,NA,30.3,30.3,NA,NA,NA,NA,NA,NA,NA,NA,4767,4767,NA,NA,NA,NA
"17778","17778",3403.06871048283,560.021,189.144,841.144,176.279,74.8,1.13,6.33,17.75,5,NA,NA,NA,NA,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5118,NA,NA,NA,NA,NA
"17780","17780",2668.58475355642,486.849,0,523.161,0,87.65,1.54,1.79,9.03,4,NA,NA,NA,NA,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269,NA,NA,NA,NA,NA
"17781","17781",1457.25012993722,0,23.854,495.44,165.931,84.58,0,0,15.42,2,NA,NA,NA,NA,16.6,16.6,NA,NA,NA,NA,NA,NA,NA,NA,2672,2672,NA,NA,NA,NA
"17782","17782",2409.88243859923,73.031,454.56,381.837,46.301,80.86,0,3.83,15.31,5,NA,NA,NA,NA,27.8,27.8,NA,NA,NA,NA,NA,NA,NA,NA,3659,3659,NA,NA,NA,NA
"17783","17783",1558.63871961802,283.58,70.367,67.561,0,86.16,0,3.07,10.77,1,NA,NA,NA,NA,16.4,16.4,NA,NA,NA,NA,NA,NA,NA,NA,2420,2420,NA,NA,NA,NA
"17784","17784",2897.14034833371,383.276,143.124,244.594,31.328,70.39,0,2.92,26.69,3,NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4166,NA,NA,NA,NA,NA
"17785","17785",5772.25886542999,4296.451,86.49,0,8.59,82.85,0.67,7.5,8.98,2,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,6331,NA,NA,NA,NA,NA
"17786","17786",1714.5939123435,1097.676,251.066,0,0,93.61,0.52,3.87,2,0,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247,NA,NA,NA,NA,NA
"17787","17787",2184.91271389167,0,0,1033.727,0,58.56,0,0,41.44,0,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,NA,NA,NA,3174,3174,NA,NA,NA,NA
"17788","17788",1802.17359483694,138.032,0,428.006,331.035,96.28,0.47,0,3.25,1,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2294,NA,NA,NA,NA,NA
"17789","17789",1074.24988386199,461.819,0,0,0,72.77,4.42,18.65,4.16,0,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598,NA,NA,NA,NA,NA
"1779","1779",828.859379859835,952.321,0,0,115.561,81.9,0,0.78,17.32,1,NA,NA,NA,NA,14.1,14.1,NA,NA,NA,NA,NA,NA,NA,NA,1986,1986,NA,NA,NA,NA
"17790","17790",1845.94539769008,329.933,0,0,1736.586,91.87,0,0.63,7.5,1,NA,NA,NA,NA,17.7,17.7,NA,NA,NA,NA,NA,NA,NA,NA,2792,2792,NA,NA,NA,NA
"17791","17791",2505.65823212203,426.008,68.089,0,1507.854,91.13,0,2.9,5.97,2,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3878,NA,NA,NA,NA,NA
"17792","17792",5264.91286529624,1669.776,506.036,525.621,550.574,88.64,1.34,3.54,6.49,8,NA,NA,NA,NA,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,7372,NA,NA,NA,NA,NA
"17793","17793",7373.40375582711,2743.086,37.447,1746.583,168.619,92.43,0.22,5.17,2.17,9,NA,NA,NA,NA,76.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,12240,NA,NA,NA,NA,NA
"17794","17794",3573.39051336035,2118.803,0,37.822,0,87.9,0,0,12.1,1,NA,NA,NA,NA,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4804,NA,NA,NA,NA,NA
"17795","17795",3296.1631628712,1991.414,82.897,80.679,1020.105,83.86,4.21,6.85,5.08,3,NA,NA,NA,NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4601,NA,NA,NA,NA,NA
"17796","17796",1498.94981721055,0,0,0,0,31.85,1.44,35.81,30.9,0,NA,NA,NA,NA,27,27,NA,NA,NA,NA,NA,NA,NA,NA,2208,2208,NA,NA,NA,NA
"17797","17797",1921.33684805227,1996.061,0,0,0,85.91,4.1,1.75,8.24,0,NA,NA,NA,NA,22.5,21.7,NA,NA,NA,NA,NA,NA,NA,NA,3206,3206,NA,NA,NA,NA
"17798","17798",2028.80674680849,0,0,140.96,0,61.9,0,8.84,29.26,1,NA,NA,NA,NA,25.7,25.7,NA,NA,NA,NA,NA,NA,NA,NA,2968,2968,NA,NA,NA,NA
"17799","17799",2452.23228932874,49.2,0,0,0,84.91,0,15.09,0,0,NA,NA,NA,NA,25.2,25.2,NA,NA,NA,NA,NA,NA,NA,NA,3316,3316,NA,NA,NA,NA
